name,gender,probability,n
Alvi,male,0.933070866141732,254
Alvian,male,1,15
Alviina,female,1,244
Alviira,female,1,10
Alvin,male,1,306
Alvina,female,1,125
Alwan,male,0.565217391304348,23
Alwar,male,1,21
Alwin,male,1,22
Aly,male,1,14
Alyssa,female,1,109
Ama,female,1,33
Amaal,female,1,21
Amadea,female,1,26
Amadeo,male,1,11
Amadeus,male,1,255
Amadou,male,1,17
Amaia,female,1,15
Amal,female,1,93
Amalia,female,1,3906
Amalie,female,1,48
Amaliina,female,1,13
Aman,male,1,15
Amanda,female,1,19584
Amandine,female,1,18
Amandus,male,1,19
Amani,female,0.736842105263158,38
Amar,male,1,55
Amara,female,1,12
Amaru,male,1,13
Amatus,male,1,10
Amaya,female,1,22
Amber,female,1,33
Ambrosia,female,1,15
Ambrosius,male,1,18
Amel,female,1,16
Amela,female,1,12
Amelia,female,1,1266
Amélia,female,1,12
Amelie,female,1,936
Amélie,female,1,130
Amelié,female,1,21
Ameliina,female,1,25
Amer,male,1,24
Ami,male,0.819148936170213,282
Amie,female,1,27
Amiel,male,1,13
Amiin,male,1,19
Amiira,female,1,30
Amila,female,1,13
Amilda,female,1,26
Amilia,female,1,50
Amin,male,1,239
Amina,female,1,363
Aminah,female,1,10
Aminata,female,1,21
Aminda,female,1,16
Amine,male,0.583333333333333,48
Amino,female,1,11
Amir,male,1,320
Amira,female,1,255
Amit,male,1,20
Amjad,male,1,22
Ammar,male,1,37
Ammi,female,1,13
Amna,female,1,16
Amon,male,1,22
Amor,male,1,22
Amorina,female,1,10
Amos,male,1,562
Amr,male,1,14
Amra,female,1,16
Amran,female,1,13
Amrita,female,1,23
Amy,female,1,188
An,male,0.564516129032258,62
Ana,female,1,168
Anab,female,1,30
Anabel,female,1,26
Anabella,female,1,11
Anahita,female,1,23
Anais,female,1,23
Anaïs,female,1,34
Anakin,male,1,16
Anand,male,1,11
Ananda,male,0.5,26
Ananias,male,1,108
Anas,male,1,121
Anastaasia,female,1,26
Anastacia,female,1,209
Anastasia,female,1,1896
Anastasija,female,1,57
Anastasios,male,1,13
Anastasiya,female,1,13
Anastassia,female,1,58
Anatole,male,1,10
Anatoli,male,1,138
Anatolij,male,1,14
Anatoljevna,female,1,28
Anatoly,male,1,15
Ancela,female,1,58
Ancelica,female,1,10
Anceliga,female,1,127
Ancelika,female,1,49
Ancelina,female,1,13
Andaras,male,1,10
Andeliina,female,1,11
Anders,male,1,6697
Andersdotter,female,1,38
Andersson,male,1,15
Andi,male,1,24
András,male,1,34
Andre,male,1,230
André,male,1,969
Andrè,male,1,19
Andrea,female,0.83206106870229,786
Andréa,female,1,68
Andreas,male,1,5200
Andréas,male,1,76
Andree,male,1,11
Andreea,female,1,12
Andrei,male,1,750
Andrej,male,1,77
Andres,male,1,146
Andrés,male,1,60
Andrew,male,1,414
Andrey,male,1,153
Andriy,male,1,15
Andrus,male,1,12
Andrzej,male,1,18
Andy,male,1,75
Ane,female,1,10
Anela,female,1,12
Anele,female,1,12
Anelma,female,1,2979
Anemone,female,1,10
Anerva,female,1,16
Anervo,female,1,13
Anesa,female,1,12
Anessa,female,1,11
Anet,female,1,13
Aneta,female,1,13
Anett,female,1,48
Anetta,female,1,75
Anette,female,1,3640
Anfisa,female,1,15
Angel,female,0.554744525547445,137
Angela,female,1,483
Angeles,female,1,10
Angeli,female,1,26
Angelica,female,1,750
Angeliina,female,1,61
Angelika,female,1,412
Angeliki,female,1,10
Angelina,female,1,538
Angeline,female,1,19
Angelique,female,1,77
Angelita,female,1,15
Angelo,male,1,119
Angelos,male,1,27
Angervo,female,1,75
Angie,female,1,13
Angus,male,1,28
Anh,female,0.553571428571429,224
Ani,female,1,197
Ania,female,1,43
Anian,male,1,51
Aniara,female,1,14
Anica,female,1,11
Anida,female,1,13
Aniela,female,1,42
Anielka,female,1,11
Aniina,female,1,27
Aniita,female,1,149
Aniitta,female,1,352
Anika,female,1,97
Anikka,female,1,10
Anil,male,1,12
Anila,female,1,15
Anilla,female,1,33
Anima,female,1,12
Anina,female,1,88
Anine,female,1,13
Aninka,female,1,27
Anis,male,1,20
Anisa,female,1,108
Anisia,female,1,12
Anissa,female,1,43
Anita,female,1,23020
Anitra,female,1,239
Anitta,female,1,4936
Anja,female,1,26189
Anja-Kaarina,female,1,25
Anja-Leena,female,1,46
Anja-Liisa,female,1,107
Anja-Maija,female,1,25
Anja-Maria,female,1,21
Anja-Riitta,female,1,131
Anjatta,female,1,14
Anjelica,female,1,10
Anjelika,female,1,18
Anju,female,1,23
Anjuli,female,1,12
Anjuska,female,1,43
Anki,female,1,70
Anmari,female,1,75
Ann,female,1,1100
Anna,female,1,46928
Annabel,female,1,175
Annabell,female,1,28
Annabella,female,1,306
Anna-Bella,female,1,35
Annabelle,female,1,39
Anna-Brita,female,1,31
Anna-Carin,female,1,13
Anna-Christina,female,1,11
Anna-Eliisa,female,1,11
Anna-Elina,female,1,150
Anna-Elisa,female,1,26
Anna-Emilia,female,1,134
Anna-Erika,female,1,25
Anna-Eveliina,female,1,16
Anna-Greetta,female,1,11
Anna-Greta,female,1,97
Anna-Helena,female,1,79
Anna-Ilona,female,1,15
Anna-Inkeri,female,1,15
Anna-Johanna,female,1,10
Anna-Julia,female,1,35
